City,Armidale,ARM,NULL,NULL,Australia,AU
Airport,Armidale,ARM,Armidale,ARM,Australia,AU
City,Alice Springs,ASP,NULL,NULL,Australia,AU
Airport,Alice Springs Airport,ASP,Alice Springs,ASP,Australia,AU
City,Aurukun Mission,AUU,NULL,NULL,Australia,AU
Airport,Aurukun Mission,AUU,Aurukun Mission,AUU,Australia,AU
Airport,Melbourne Avalon Airport,AVV,Melbourne,MEL,Australia,AU
City,Ayers Rock (Uluru),AYQ,NULL,NULL,Australia,AU
Airport,Ayers Rock,AYQ,Ayers Rock (Uluru),AYQ,Australia,AU
City,Barcaldine,BCI,NULL,NULL,Australia,AU
Airport,Barcaldine,BCI,Barcaldine,BCI,Australia,AU
City,Bundaberg,BDB,NULL,NULL,Australia,AU
Airport,Bundaberg,BDB,Bundaberg,BDB,Australia,AU
City,Bedourie,BEU,NULL,NULL,Australia,AU
Airport,Bedourie,BEU,Bedourie,BEU,Australia,AU
Airport,Broken Hill,BHQ,Broken Hill,BHQ,Australia,AU
City,Broken Hill,BHQ,NULL,NULL,Australia,AU
Airport,Bathurst,BHS,Bathurst,BHS,Australia,AU
City,Bathurst,BHS,NULL,NULL,Australia,AU
City,Blackall,BKQ,NULL,NULL,Australia,AU
Airport,Blackall,BKQ,Blackall,BKQ,Australia,AU
City,Blackwater,BLT,NULL,NULL,Australia,AU
Airport,Blackwater,BLT,Blackwater,BLT,Australia,AU
Airport,Broome,BME,Broome,BME,Australia,AU
City,Broome,BME,NULL,NULL,Australia,AU
Airport,Brisbane,BNE,Brisbane,BNE,Australia,AU
City,Brisbane,BNE,NULL,NULL,Australia,AU
Airport,Ballina,BNK,Ballina (Byron Bay),BNK,Australia,AU
City,Ballina (Byron Bay),BNK,NULL,NULL,Australia,AU
City,Boulia,BQL,NULL,NULL,Australia,AU
Airport,Boulia,BQL,Boulia,BQL,Australia,AU
City,Bathurst Island,BRT,NULL,NULL,Australia,AU
Airport,Bathurst Island,BRT,Bathurst Island,BRT,Australia,AU
Airport,Burketown,BUC,Burketown,BUC,Australia,AU
City,Burketown,BUC,NULL,NULL,Australia,AU
Airport,Birdsville,BVI,Birdsville,BVI,Australia,AU
City,Birdsville,BVI,NULL,NULL,Australia,AU
City,Burnie,BWT,NULL,NULL,Australia,AU
Airport,Burnie,BWT,Burnie,BWT,Australia,AU
Airport,Cobar,CAZ,Cobar,CAZ,Australia,AU
City,Cobar,CAZ,NULL,NULL,Australia,AU
Airport,Canberra,CBR,Canberra,CBR,Australia,AU
City,Canberra,CBR,NULL,NULL,Australia,AU
Airport,Ceduna,CED,Ceduna,CED,Australia,AU
City,Ceduna,CED,NULL,NULL,Australia,AU
City,Coffs Harbour (Coffs Coast),CFS,NULL,NULL,Australia,AU
Airport,Coffs Harbour,CFS,Coffs Harbour (Coffs Coast),CFS,Australia,AU
City,Cunnamulla,CMA,NULL,NULL,Australia,AU
Airport,Cunnamulla,CMA,Cunnamulla,CMA,Australia,AU
City,Coconut Island,CNC,NULL,NULL,Australia,AU
Airport,Coconut Island,CNC,Coconut Island,CNC,Australia,AU
Airport,Cloncurry,CNJ,Cloncurry,CNJ,Australia,AU
City,Cloncurry,CNJ,NULL,NULL,Australia,AU
Airport,Cairns,CNS,Cairns (Port Douglas),CNS,Australia,AU
City,Cairns (Port Douglas),CNS,NULL,NULL,Australia,AU
Airport,Coober Pedy,CPD,Coober Pedy,CPD,Australia,AU
City,Coober Pedy,CPD,NULL,NULL,Australia,AU
Airport,Charleville,CTL,Charleville,CTL,Australia,AU
City,Charleville,CTL,NULL,NULL,Australia,AU
Airport,Cooktown,CTN,Cooktown,CTN,Australia,AU
City,Cooktown,CTN,NULL,NULL,Australia,AU
Airport,Coen,CUQ,Coen,CUQ,Australia,AU
City,Coen,CUQ,NULL,NULL,Australia,AU
Airport,Carnarvon,CVQ,Carnarvon,CVQ,Australia,AU
City,Carnarvon,CVQ,NULL,NULL,Australia,AU
Airport,Dubbo,DBO,Dubbo,DBO,Australia,AU
City,Dubbo,DBO,NULL,NULL,Australia,AU
Airport,Derby,DCN,Derby,DCN,Australia,AU
City,Derby,DCN,NULL,NULL,Australia,AU
City,Daydream Island,DDI,NULL,NULL,Australia,AU
City,Mudgee,DGE,NULL,NULL,Australia,AU
Airport,Mudgee,DGE,Mudgee,DGE,Australia,AU
City,Doomadgee Mission,DMD,NULL,NULL,Australia,AU
Airport,Doomadgee Mission,DMD,Doomadgee Mission,DMD,Australia,AU
City,Devonport,DPO,NULL,NULL,Australia,AU
Airport,Devonport,DPO,Devonport,DPO,Australia,AU
Airport,Darwin Airport,DRW,Darwin,DRW,Australia,AU
City,Darwin,DRW,NULL,NULL,Australia,AU
City,Edward River,EDR,NULL,NULL,Australia,AU
Airport,Edward River,EDR,Edward River,EDR,Australia,AU
City,Elcho Island,ELC,NULL,NULL,Australia,AU
Airport,Elcho Island,ELC,Elcho Island,ELC,Australia,AU
City,Emerald,EMD,NULL,NULL,Australia,AU
Airport,Emerald,EMD,Emerald,EMD,Australia,AU
Airport,Esperance,EPR,Esperance,EPR,Australia,AU
City,Esperance,EPR,NULL,NULL,Australia,AU
Airport,Flinders Island,FLS,Flinders Island,FLS,Australia,AU
City,Flinders Island,FLS,NULL,NULL,Australia,AU
City,Geraldton,GET,NULL,NULL,Australia,AU
Airport,Geraldton,GET,Geraldton,GET,Australia,AU
City,Griffith,GFF,NULL,NULL,Australia,AU
Airport,Griffith,GFF,Griffith,GFF,Australia,AU
City,Grafton,GFN,NULL,NULL,Australia,AU
Airport,Grafton,GFN,Grafton,GFN,Australia,AU
Airport,Gladstone,GLT,Gladstone,GLT,Australia,AU
City,Gladstone,GLT,NULL,NULL,Australia,AU
City,Gove (Nhulunbuy),GOV,NULL,NULL,Australia,AU
Airport,Gove,GOV,Gove (Nhulunbuy),GOV,Australia,AU
City,Groote Eylandt,GTE,NULL,NULL,Australia,AU
Airport,Groote Eylandt,GTE,Groote Eylandt,GTE,Australia,AU
City,Granites,GTS,NULL,NULL,Australia,AU
Airport,Granites,GTS,Granites,GTS,Australia,AU
Airport,Argyle,GYL,Argyle,GYL,Australia,AU
City,Argyle,GYL,NULL,NULL,Australia,AU
Airport,Hobart,HBA,Hobart,HBA,Australia,AU
City,Hobart,HBA,NULL,NULL,Australia,AU
City,Hughenden,HGD,NULL,NULL,Australia,AU
Airport,Hughenden,HGD,Hughenden,HGD,Australia,AU
City,Horn Island,HID,NULL,NULL,Australia,AU
Airport,Horn Island,HID,Horn Island,HID,Australia,AU
City,Hayman Island,HIS,NULL,NULL,Australia,AU
City,Hamilton Island,HTI,NULL,NULL,Australia,AU
Airport,Hamilton Island,HTI,Hamilton Island,HTI,Australia,AU
City,Hervey Bay (Fraser Coast),HVB,NULL,NULL,Australia,AU
Airport,Hervey Bay,HVB,Hervey Bay (Fraser Coast),HVB,Australia,AU
City,Lockhart River,IRG,NULL,NULL,Australia,AU
Airport,Lockhart River,IRG,Lockhart River,IRG,Australia,AU
Airport,Mount Isa,ISA,Mount Isa,ISA,Australia,AU
City,Mount Isa,ISA,NULL,NULL,Australia,AU
City,Julia Creek,JCK,NULL,NULL,Australia,AU
Airport,Julia Creek,JCK,Julia Creek,JCK,Australia,AU
Airport,Kalbarri,KAX,Kalbarri,KAX,Australia,AU
City,Kalbarri,KAX,NULL,NULL,Australia,AU
City,Kingscote,KGC,NULL,NULL,Australia,AU
Airport,Kingscote,KGC,Kingscote,KGC,Australia,AU
City,Kalgoorlie,KGI,NULL,NULL,Australia,AU
Airport,Kalgoorlie,KGI,Kalgoorlie,KGI,Australia,AU
Airport,King Island,KNS,King Island,KNS,Australia,AU
City,King Island,KNS,NULL,NULL,Australia,AU
City,Kununurra,KNX,NULL,NULL,Australia,AU
Airport,Kununurra,KNX,Kununurra,KNX,Australia,AU
City,Karratha,KTA,NULL,NULL,Australia,AU
Airport,Karratha,KTA,Karratha,KTA,Australia,AU
City,Kowanyama,KWM,NULL,NULL,Australia,AU
Airport,Kowanyama,KWM,Kowanyama,KWM,Australia,AU
Airport,Lord Howe Island,LDH,Lord Howe Island,LDH,Australia,AU
City,Lord Howe Island,LDH,NULL,NULL,Australia,AU
Airport,Learmonth,LEA,Learmonth,LEA,Australia,AU
City,Learmonth,LEA,NULL,NULL,Australia,AU
City,Longreach,LRE,NULL,NULL,Australia,AU
Airport,Longreach,LRE,Longreach,LRE,Australia,AU
Airport,Launceston,LST,Launceston,LST,Australia,AU
City,Launceston,LST,NULL,NULL,Australia,AU
City,Lismore,LSY,NULL,NULL,Australia,AU
Airport,Lismore,LSY,Lismore,LSY,Australia,AU
City,Maryborough,MBH,NULL,NULL,Australia,AU
Airport,Maryborough,MBH,Maryborough,MBH,Australia,AU
Airport,McArthur River,MCV,McArthur River,MCV,Australia,AU
City,McArthur River,MCV,NULL,NULL,Australia,AU
City,Sunshine Coast (Maroochydore/Noosa),MCY,NULL,NULL,Australia,AU
Airport,Maroochydore Airport,MCY,NULL,NULL,Australia,AU
Airport,Sunshine Coast,MCY,Sunshine Coast (Maroochydore/Noosa),MCY,Australia,AU
Airport,Melbourne Essendon Apt,MEB,Melbourne,MEL,Australia,AU
Airport,Melbourne Airport,MEL,Melbourne,MEL,Australia,AU
City,Melbourne,MEL,NULL,NULL,Australia,AU
City,Mount Gambier,MGB,NULL,NULL,Australia,AU
Airport,Mount Gambier,MGB,Mount Gambier,MGB,Australia,AU
Airport,Milingimbi,MGT,Milingimbi,MGT,Australia,AU
City,Milingimbi,MGT,NULL,NULL,Australia,AU
Airport,Mount Hotham,MHU,Mount Hotham,MHU,Australia,AU
City,Mount Hotham,MHU,NULL,NULL,Australia,AU
City,Merimbula,MIM,NULL,NULL,Australia,AU
Airport,Merimbula,MIM,Merimbula,MIM,Australia,AU
Airport,Monkey Mia,MJK,Monkey Mia,MJK,Australia,AU
City,Monkey Mia,MJK,NULL,NULL,Australia,AU
City,Mackay,MKY,NULL,NULL,Australia,AU
Airport,Mackay,MKY,Mackay,MKY,Australia,AU
City,Maningrida,MNG,NULL,NULL,Australia,AU
Airport,Maningrida,MNG,Maningrida,MNG,Australia,AU
Airport,Moranbah,MOV,Moranbah,MOV,Australia,AU
City,Moranbah,MOV,NULL,NULL,Australia,AU
City,Mildura,MQL,NULL,NULL,Australia,AU
Airport,Mildura,MQL,Mildura,MQL,Australia,AU
Airport,Moree,MRZ,Moree,MRZ,Australia,AU
City,Moree,MRZ,NULL,NULL,Australia,AU
Airport,Moruya,MYA,Moruya,MYA,Australia,AU
City,Moruya,MYA,NULL,NULL,Australia,AU
Airport,Narrabri,NAA,Narrabri,NAA,Australia,AU
City,Narrabri,NAA,NULL,NULL,Australia,AU
