Airport,Toronto John C Munro Hamilton,YHM,Toronto,YTO,Canada,CA
Airport,Montreal St Hubert Apt,YHU,Montreal,YMQ,Canada,CA
City,Halifax,YHZ,NULL,NULL,Canada,CA
Airport,Halifax Stanfield International Apt,YHZ,Halifax,YHZ,Canada,CA
City,Kitchener/Waterloo,YKF,NULL,NULL,Canada,CA
Airport,Kitchener/Waterloo,YKF,Kitchener/Waterloo,YKF,Canada,CA
Airport,Kelowna,YLW,Kelowna,YLW,Canada,CA
City,Kelowna,YLW,NULL,NULL,Canada,CA
City,Fort McMurray,YMM,NULL,NULL,Canada,CA
Airport,Fort McMurray,YMM,Fort McMurray,YMM,Canada,CA
Airport,Ottawa McDonald Cartier Intl Apt,YOW,Ottawa,YOW,Canada,CA
City,Ottawa,YOW,NULL,NULL,Canada,CA
Airport,Quebec International Airport,YQB,Quebec,YQB,Canada,CA
City,Quebec,YQB,NULL,NULL,Canada,CA
Airport,Red Deer,YQF,Red Deer,YQF,Canada,CA
City,Red Deer,YQF,NULL,NULL,Canada,CA
Airport,Greater Moncton International Airport,YQM,Moncton,YQM,Canada,CA
City,Moncton,YQM,NULL,NULL,Canada,CA
City,Regina,YQR,NULL,NULL,Canada,CA
Airport,Regina,YQR,Regina,YQR,Canada,CA
Airport,Mont Tremblant,YTM,Mont Tremblant,YTM,Canada,CA
City,Mont Tremblant,YTM,NULL,NULL,Canada,CA
City,Toronto,YTO,NULL,NULL,Canada,CA
Airport,Toronto City Centre Apt,YTZ,Toronto,YTO,Canada,CA
Airport,Montreal Pierre Elliott Trudeau Int Apt,YUL,Montreal,YMQ,Canada,CA
City,Vancouver,YVR,NULL,NULL,Canada,CA
Airport,Vancouver International Apt,YVR,Vancouver,YVR,Canada,CA
Airport,Winnipeg J.A. Richardson Intl Apt,YWG,Winnipeg,YWG,Canada,CA
City,Winnipeg,YWG,NULL,NULL,Canada,CA
Airport,Victoria Inner Harbour Apt,YWH,Victoria,YYJ,Canada,CA
City,Whistler,YWS,NULL,NULL,Canada,CA
Airport,Whistler,YWS,Whistler,YWS,Canada,CA
City,Saskatoon,YXE,NULL,NULL,Canada,CA
Airport,Saskatoon,YXE,Saskatoon,YXE,Canada,CA
Airport,Calgary,YYC,Calgary,YYC,Canada,CA
City,Calgary,YYC,NULL,NULL,Canada,CA
City,Penticton,YYF,NULL,NULL,Canada,CA
Airport,Penticton,YYF,Penticton,YYF,Canada,CA
Airport,Charlottetown,YYG,Charlottetown,YYG,Canada,CA
City,Charlottetown,YYG,NULL,NULL,Canada,CA
City,Victoria,YYJ,NULL,NULL,Canada,CA
Airport,Victoria International Apt,YYJ,Victoria,YYJ,Canada,CA
Airport,St Johns,YYT,St Johns,YYT,Canada,CA
City,St Johns,YYT,NULL,NULL,Canada,CA
Airport,Toronto Lester B Pearson Intl Apt,YYZ,Toronto,YTO,Canada,CA
City,Praia,RAI,NULL,NULL,Cape Verde,CV
Airport,Praia,RAI,Praia,RAI,Cape Verde,CV
Airport,Grand Cayman Island,GCM,Grand Cayman Island,GCM,Cayman Islands,KY
City,Grand Cayman Island,GCM,NULL,NULL,Cayman Islands,KY
Airport,Santiago Arturo Merino Benitez,SCL,Santiago,SCL,Chile,CL
City,Santiago,SCL,NULL,NULL,Chile,CL
City,Shanghai,SHA,NULL,NULL,China,CN
Airport,Shanghai Hongqiao International Apt,SHA,Shanghai,SHA,China,CN
City,Beijing (Peking),BJS,NULL,NULL,China,CN
Airport,Christmas Island,XCH,Christmas Island,XCH,Christmas Island,CX
City,Christmas Island,XCH,NULL,NULL,Christmas Island,CX
Airport,Cocos Islands,CCK,Cocos Islands,CCK,Cocos (Keeling) Islands,CC
City,Cocos Islands,CCK,NULL,NULL,Cocos (Keeling) Islands,CC
City,Bogota,BOG,NULL,NULL,Colombia,CO
Airport,Bogota,BOG,Bogota,BOG,Colombia,CO
City,Medellin,MDE,NULL,NULL,Colombia,CO
Airport,Medellin Jose Maria Cordova Intl,MDE,Medellin,MDE,Colombia,CO
Airport,San Jose Juan Santamaria Apt,SJO,San Jose,SJO,Costa Rica,CR
Airport,San Jose Tobias Bolanos Apt,SYQ,San Jose,SJO,Costa Rica,CR
Airport,Zagreb,ZAG,Zagreb,ZAG,Croatia,HR
City,Zagreb,ZAG,NULL,NULL,Croatia,HR
City,Havana Jose Marti Intl,HAV,NULL,NULL,Cuba,CU
Airport,Havana Jose Marti Intl,HAV,Havana Jose Marti Intl,HAV,Cuba,CU
Airport,Santiago,SCU,Santiago,SCU,Cuba,CU
City,Santiago,SCU,NULL,NULL,Cuba,CU
City,Prague,PRG,NULL,NULL,Czech Republic,CZ
Airport,Prague,PRG,Prague,PRG,Czech Republic,CZ
City,Copenhagen,CPH,NULL,NULL,Denmark,DK
Airport,Copenhagen Kastrup Apt,CPH,Copenhagen,CPH,Denmark,DK
City,Santo Domingo,SDQ,NULL,NULL,Dominican Republic,DO
Airport,Santo Domingo Las Americas Apt,SDQ,Santo Domingo,SDQ,Dominican Republic,DO
Airport,Quito,UIO,Quito,UIO,Ecuador,EC
City,Quito,UIO,NULL,NULL,Ecuador,EC
City,Cairo,CAI,NULL,NULL,Egypt,EG
Airport,Cairo,CAI,Cairo,CAI,Egypt,EG
City,San Salvador,SAL,NULL,NULL,El Salvador,SV
Airport,San Salvador,SAL,San Salvador,SAL,El Salvador,SV
Airport,Nadi,NAN,Nadi,NAN,Fiji,FJ
City,Nadi,NAN,NULL,NULL,Fiji,FJ
City,Helsinki,HEL,NULL,NULL,Finland,FI
Airport,Helsinki,HEL,Helsinki,HEL,Finland,FI
City,Bordeaux,BOD,NULL,NULL,France,FR
Airport,Bordeaux Merignac Apt,BOD,Bordeaux,BOD,France,FR
Airport,Paris Beauvais-Tille Airport,BVA,Paris,PAR,France,FR
Airport,Paris Charles de Gaulle Apt,CDG,Paris,PAR,France,FR
City,Cannes,CEQ,NULL,NULL,France,FR
Airport,Lyon Grenoble-St Geoirs Apt,GNB,Lyon,LYS,France,FR
Airport,Lille Lesquin Airport,LIL,Lille,LIL,France,FR
City,Lille,LIL,NULL,NULL,France,FR
City,St-Tropez,LTT,NULL,NULL,France,FR
Airport,St-Tropez,LTT,St-Tropez,LTT,France,FR
City,Lyon,LYS,NULL,NULL,France,FR
Airport,Lyon St-Exupery Apt,LYS,Lyon,LYS,France,FR
City,Montpellier,MPL,NULL,NULL,France,FR
Airport,Montpellier Mediterranee Apt,MPL,Montpellier,MPL,France,FR
Airport,Marseille Provence Apt,MRS,Marseille,MRS,France,FR
City,Marseille,MRS,NULL,NULL,France,FR
Airport,Nice,NCE,Nice,NCE,France,FR
City,Nice,NCE,NULL,NULL,France,FR
Airport,Nantes Atlantique Airport,NTE,Nantes,NTE,France,FR
City,Nantes,NTE,NULL,NULL,France,FR
Airport,Paris Orly Apt,ORY,Paris,PAR,France,FR
City,Paris,PAR,NULL,NULL,France,FR
City,Rennes,RNS,NULL,NULL,France,FR
Airport,Rennes St Jacques Airport,RNS,Rennes,RNS,France,FR
City,Toulouse,TLS,NULL,NULL,France,FR
Airport,Toulouse Blagnac Apt,TLS,Toulouse,TLS,France,FR
Airport,Paris Chalons-Vatry Airport,XCR,Paris,PAR,France,FR
City,Cayenne,CAY,NULL,NULL,French Guiana,GF
Airport,Cayenne,CAY,Cayenne,CAY,French Guiana,GF
Airport,Bora Bora (Tahiti),BOB,Bora Bora (Tahiti),BOB,French Polynesia,PF
City,Bora Bora (Tahiti),BOB,NULL,NULL,French Polynesia,PF
City,Faaite,FAC,NULL,NULL,French Polynesia,PF
Airport,Faaite,FAC,Faaite,FAC,French Polynesia,PF
Airport,Papeete (Tahiti),PPT,Papeete (Tahiti),PPT,French Polynesia,PF
City,Papeete (Tahiti),PPT,NULL,NULL,French Polynesia,PF
Airport,Frankfurt International Apt,FRA,Frankfurt,FRA,Germany,DE
City,Frankfurt,FRA,NULL,NULL,Germany,DE
Airport,Hannover,HAJ,Hannover,HAJ,Germany,DE
City,Hannover,HAJ,NULL,NULL,Germany,DE
City,Hamburg,HAM,NULL,NULL,Germany,DE
Airport,Hamburg Airport,HAM,Hamburg,HAM,Germany,DE
Airport,Frankfurt Hahn Airport,HHN,Frankfurt,FRA,Germany,DE
Airport,Hamburg Luebeck-Blankensee Airport,LBC,Hamburg,HAM,Germany,DE
City,Munich,MUC,NULL,NULL,Germany,DE
Airport,Munich International Airport,MUC,Munich,MUC,Germany,DE
Airport,Duesseldorf Weeze Airport,NRN,Duesseldorf,DUS,Germany,DE
City,Nuremberg,NUE,NULL,NULL,Germany,DE
Airport,Nuremberg,NUE,Nuremberg,NUE,Germany,DE
Airport,Berlin Schoenefeld Apt,SXF,Berlin,BER,Germany,DE
Airport,Berlin Tegel Apt,TXL,Berlin,BER,Germany,DE
City,Athens,ATH,NULL,NULL,Greece,GR
Airport,Athens,ATH,Athens,ATH,Greece,GR
City,Mykonos,JMK,NULL,NULL,Greece,GR
Airport,Mykonos,JMK,Mykonos,JMK,Greece,GR
Airport,Guatemala City,GUA,Guatemala City,GUA,Guatemala,GT
City,Guatemala City,GUA,NULL,NULL,Guatemala,GT
Airport,Georgetown,GEO,Georgetown,GEO,Guyana,GY
City,Georgetown,GEO,NULL,NULL,Guyana,GY
City,San Pedro Sula,SAP,NULL,NULL,Honduras,HN
Airport,San Pedro Sula,SAP,San Pedro Sula,SAP,Honduras,HN
Airport,Tegucigalpa,TGU,Tegucigalpa,TGU,Honduras,HN
City,Tegucigalpa,TGU,NULL,NULL,Honduras,HN
City,Hong Kong,HKG,NULL,NULL,Hong Kong,HK
Airport,Hong Kong International Apt,HKG,Hong Kong,HKG,Hong Kong,HK
City,Budapest,BUD,NULL,NULL,Hungary,HU
Airport,Budapest,BUD,Budapest,BUD,Hungary,HU
Airport,Reykjavik Keflavik International Apt,KEF,Reykjavik,REK,Iceland,IS
City,Reykjavik,REK,NULL,NULL,Iceland,IS
Airport,Reykjavik Apt,RKV,Reykjavik,REK,Iceland,IS
City,Vestmannaeyjar,VEY,NULL,NULL,Iceland,IS
Airport,Vestmannaeyjar,VEY,Vestmannaeyjar,VEY,Iceland,IS
Airport,Bangalore (Bengaluru),BLR,Bangalore (Bengaluru),BLR,India,IN
City,Bangalore (Bengaluru),BLR,NULL,NULL,India,IN
City,Mumbai (Bombay),BOM,NULL,NULL,India,IN
Airport,Mumbai,BOM,Mumbai (Bombay),BOM,India,IN
Airport,Delhi,DEL,Delhi (New Delhi),DEL,India,IN
City,Delhi (New Delhi),DEL,NULL,NULL,India,IN
City,Gaya,GAY,NULL,NULL,India,IN
Airport,Gaya,GAY,Gaya,GAY,India,IN
City,Goa,GOI,NULL,NULL,India,IN
Airport,Goa,GOI,Goa,GOI,India,IN
City,Kanpur,KNU,NULL,NULL,India,IN
Airport,Kanpur,KNU,Kanpur,KNU,India,IN
City,Kulu,KUU,NULL,NULL,India,IN
Airport,Kulu,KUU,Kulu,KUU,India,IN
Airport,Jakarta Soekarno-Hatta Apt,CGK,Jakarta,CGK,Indonesia,ID
City,Jakarta,CGK,NULL,NULL,Indonesia,ID
Airport,Medan,MES,Medan,MES,Indonesia,ID
City,Medan,MES,NULL,NULL,Indonesia,ID
Airport,Dublin,DUB,Dublin,DUB,Ireland,IE
City,Dublin,DUB,NULL,NULL,Ireland,IE
Airport,Rome Fiumicino Apt,FCO,Rome,ROM,Italy,IT
City,Florence,FLR,NULL,NULL,Italy,IT
Airport,Florence,FLR,Florence,FLR,Italy,IT
City,Milan,MIL,NULL,NULL,Italy,IT
Airport,Milan Malpensa Apt,MXP,Milan,MIL,Italy,IT
City,Naples,NAP,NULL,NULL,Italy,IT
Airport,Naples Capodichino Apt,NAP,Naples,NAP,Italy,IT
Airport,Palermo,PMO,Palermo,PMO,Italy,IT
City,Palermo,PMO,NULL,NULL,Italy,IT
City,Rome,ROM,NULL,NULL,Italy,IT
Airport,Venice Treviso/Sant'Angelo Apt,TSF,Venice,VCE,Italy,IT
City,Venice,VCE,NULL,NULL,Italy,IT
Airport,Venice Marco Polo Apt,VCE,Venice,VCE,Italy,IT
City,Vicenza,VIC,NULL,NULL,Italy,IT
Airport,Vicenza,VIC,Vicenza,VIC,Italy,IT
City,Verona,VRN,NULL,NULL,Italy,IT
Airport,Verona Villafranca Airport,VRN,Verona,VRN,Italy,IT
City,Kingston,KIN,NULL,NULL,Jamaica,JM
Airport,Kingston Norman Manley Intl Apt,KIN,Kingston,KIN,Jamaica,JM
City,Montego Bay,MBJ,NULL,NULL,Jamaica,JM
Airport,Montego Bay,MBJ,Montego Bay,MBJ,Jamaica,JM
Airport,Tokyo Haneda Apt,HND,Tokyo,TYO,Japan,JP
City,Nagasaki,NGS,NULL,NULL,Japan,JP
Airport,Nagasaki,NGS,Nagasaki,NGS,Japan,JP
Airport,Tokyo Narita Apt,NRT,Tokyo,TYO,Japan,JP
City,Tokyo,TYO,NULL,NULL,Japan,JP
Airport,Vientiane,VTE,Vientiane,VTE,Laos,LA
City,Vientiane,VTE,NULL,NULL,Laos,LA
Airport,Luxembourg,LUX,Luxembourg,LUX,Luxembourg,LU
City,Luxembourg,LUX,NULL,NULL,Luxembourg,LU
Airport,Antananarivo,TNR,Antananarivo,TNR,Madagascar,MG
City,Antananarivo,TNR,NULL,NULL,Madagascar,MG
City,Cancun,CUN,NULL,NULL,Mexico,MX
Airport,Cancun,CUN,Cancun,CUN,Mexico,MX
City,Mexico City,MEX,NULL,NULL,Mexico,MX
Airport,Mexico City Juarez International Apt,MEX,Mexico City,MEX,Mexico,MX
Airport,Puerto Vallarta,PVR,Puerto Vallarta,PVR,Mexico,MX
City,Puerto Vallarta,PVR,NULL,NULL,Mexico,MX
Airport,Mexico City Toluca Airport,TLC,Mexico City,MEX,Mexico,MX
City,Monaco,MCM,NULL,NULL,Monaco,MC
Airport,Monaco,MCM,Monaco,MCM,Monaco,MC
City,Casablanca,CAS,NULL,NULL,Morocco,MA
Airport,Casablanca Anfa Apt,CAS,Casablanca,CAS,Morocco,MA
Airport,Casablanca Mohammed V Apt,CMN,Casablanca,CAS,Morocco,MA
Airport,Amsterdam,AMS,Amsterdam,AMS,Netherlands,NL
City,Amsterdam,AMS,NULL,NULL,Netherlands,NL
City,Rotterdam,RTM,NULL,NULL,Netherlands,NL
Airport,Rotterdam Apt,RTM,Rotterdam,RTM,Netherlands,NL
City,Utrecht,UTC,NULL,NULL,Netherlands,NL
Airport,Auckland International Apt,AKL,Auckland,AKL,New Zealand,NZ
City,Auckland,AKL,NULL,NULL,New Zealand,NZ
City,Christchurch,CHC,NULL,NULL,New Zealand,NZ
Airport,Christchurch,CHC,Christchurch,CHC,New Zealand,NZ
City,Queenstown,ZQN,NULL,NULL,New Zealand,NZ
Airport,Queenstown,ZQN,Queenstown,ZQN,New Zealand,NZ
City,Bergen,BGO,NULL,NULL,Norway,NO
Airport,Bergen,BGO,Bergen,BGO,Norway,NO
Airport,Oslo Gardermoen Airport,OSL,Oslo,OSL,Norway,NO
City,Oslo,OSL,NULL,NULL,Norway,NO
Airport,Oslo Moss-Rygge Airport,RYG,Oslo,OSL,Norway,NO
Airport,Oslo Sandefjord-Torp Arpt,TRF,Oslo,OSL,Norway,NO
Airport,Panama City Paitilla Apt,PAC,Panama City,PTY,Panama,PA
City,Panama City,PTY,NULL,NULL,Panama,PA
Airport,Panama City Tocumen International,PTY,Panama City,PTY,Panama,PA
City,Port Moresby,POM,NULL,NULL,Papua New Guinea,PG
Airport,Port Moresby,POM,Port Moresby,POM,Papua New Guinea,PG
Airport,Arequipa,AQP,Arequipa,AQP,Peru,PE
City,Arequipa,AQP,NULL,NULL,Peru,PE
City,Lima,LIM,NULL,NULL,Peru,PE
Airport,Lima,LIM,Lima,LIM,Peru,PE
Airport,Manila Ninoy Aquino International Apt,MNL,Manila,MNL,Philippines,PH
City,Manila,MNL,NULL,NULL,Philippines,PH
Airport,Krakow,KRK,Krakow,KRK,Poland,PL
City,Krakow,KRK,NULL,NULL,Poland,PL
Airport,Warsaw,WAW,Warsaw,WAW,Poland,PL
City,Warsaw,WAW,NULL,NULL,Poland,PL
City,Lisbon,LIS,NULL,NULL,Portugal,PT
Airport,Lisbon,LIS,Lisbon,LIS,Portugal,PT
Airport,San Juan Isla Grande Apt,SIG,San Juan,SJU,Puerto Rico,PR
Airport,San Juan Luis Munoz Marin Intl Apt,SJU,San Juan,SJU,Puerto Rico,PR
City,St Lucia,SLU,NULL,NULL,Saint Lucia,LC
Airport,St Lucia Vigie Apt,SLU,St Lucia,SLU,Saint Lucia,LC
Airport,St Lucia Hewanorra Apt,UVF,St Lucia,SLU,Saint Lucia,LC
City,St Martin,SFG,NULL,NULL,Saint Martin,MF
Airport,St Martin Esperance Apt,SFG,St Martin,SFG,Saint Martin,MF
City,St Vincent,SVD,NULL,NULL,Saint Vincent And The Grenadines,VC
Airport,St Vincent,SVD,St Vincent,SVD,Saint Vincent And The Grenadines,VC
Airport,Singapore Changi Apt,SIN,Singapore,SIN,Singapore,SG
City,Singapore,SIN,NULL,NULL,Singapore,SG
Airport,Honiara,HIR,Honiara,HIR,Solomon Islands,SB
City,Honiara,HIR,NULL,NULL,Solomon Islands,SB
Airport,Cape Town,CPT,Cape Town,CPT,South Africa,ZA
City,Cape Town,CPT,NULL,NULL,South Africa,ZA
Airport,Johannesburg Lanseria International Apt,HLA,Johannesburg,JNB,South Africa,ZA
City,Johannesburg,JNB,NULL,NULL,South Africa,ZA
Airport,Johannesburg O.R. Tambo International,JNB,Johannesburg,JNB,South Africa,ZA
City,Barcelona,BCN,NULL,NULL,Spain,ES
Airport,Barcelona Apt,BCN,Barcelona,BCN,Spain,ES
Airport,Ibiza,IBZ,Ibiza,IBZ,Spain,ES
City,Ibiza,IBZ,NULL,NULL,Spain,ES
Airport,Madrid Barajas Apt,MAD,Madrid,MAD,Spain,ES
City,Madrid,MAD,NULL,NULL,Spain,ES
City,Valencia,VLC,NULL,NULL,Spain,ES
Airport,Valencia,VLC,Valencia,VLC,Spain,ES
Airport,Stockholm Bromma Apt,BMA,Stockholm,STO,Sweden,SE
Airport,Goteborg Landvetter Apt,GOT,Goteborg,GOT,Sweden,SE
City,Goteborg,GOT,NULL,NULL,Sweden,SE
Airport,Goteborg City Apt,GSE,Goteborg,GOT,Sweden,SE
Airport,Stockholm Skavsta Airport,NYO,Stockholm,STO,Sweden,SE
Airport,Stockholm Vasteras Apt,VST,Stockholm,STO,Sweden,SE
City,Geneva,GVA,NULL,NULL,Switzerland,CH
Airport,Geneva,GVA,Geneva,GVA,Switzerland,CH
Airport,Zurich Airport,ZRH,Zurich,ZRH,Switzerland,CH
City,Zurich,ZRH,NULL,NULL,Switzerland,CH
Airport,Bangkok Suvarnabhumi International Apt,BKK,Bangkok,BKK,Thailand,TH
City,Bangkok,BKK,NULL,NULL,Thailand,TH
Airport,Phuket,HKT,Phuket,HKT,Thailand,TH
City,Phuket,HKT,NULL,NULL,Thailand,TH
City,Belfast,BFS,NULL,NULL,United Kingdom,GB
Airport,Belfast International Apt,BFS,Belfast,BFS,United Kingdom,GB
Airport,Belfast George Best City Apt,BHD,Belfast,BFS,United Kingdom,GB
Airport,Edinburgh,EDI,Edinburgh,EDI,United Kingdom,GB
City,Edinburgh,EDI,NULL,NULL,United Kingdom,GB
City,Glasgow,GLA,NULL,NULL,United Kingdom,GB
Airport,Glasgow International Airport,GLA,Glasgow,GLA,United Kingdom,GB
City,Leeds Bradford,LBA,NULL,NULL,United Kingdom,GB
Airport,Leeds Bradford,LBA,Leeds Bradford,LBA,United Kingdom,GB
Airport,London City Apt,LCY,London,LON,United Kingdom,GB
Airport,London Gatwick Apt,LGW,London,LON,United Kingdom,GB
Airport,London Heathrow Apt,LHR,London,LON,United Kingdom,GB
City,London,LON,NULL,NULL,United Kingdom,GB
Airport,Liverpool,LPL,Liverpool,LPL,United Kingdom,GB
City,Liverpool,LPL,NULL,NULL,United Kingdom,GB
Airport,Shetland Islands Sumburgh Apt,LSI,Shetland Islands,SDZ,United Kingdom,GB
Airport,London Luton Apt,LTN,London,LON,United Kingdom,GB
City,Manchester,MAN,NULL,NULL,United Kingdom,GB
Airport,Manchester International Apt,MAN,Manchester,MAN,United Kingdom,GB
City,Newcastle,NCL,NULL,NULL,United Kingdom,GB
Airport,Newcastle,NCL,Newcastle,NCL,United Kingdom,GB
Airport,Glasgow Prestwick Apt,PIK,Glasgow,GLA,United Kingdom,GB
Airport,Atlantic City International,ACY,Atlantic City,AIY,United States,US
Airport,Dallas/Fort Worth Addison Apt,ADS,Dallas/Fort Worth,DFW,United States,US
Airport,Dallas/Fort Worth Alliance Apt,AFW,Dallas/Fort Worth,DFW,United States,US
Airport,Pittsburgh Allegheny County Apt,AGC,Pittsburgh,PIT,United States,US
City,Atlantic City,AIY,NULL,NULL,United States,US
Airport,Amarillo International Apt,AMA,Amarillo,AMA,United States,US
City,Amarillo,AMA,NULL,NULL,United States,US
City,Anchorage,ANC,NULL,NULL,United States,US
Airport,Anchorage International Apt,ANC,Anchorage,ANC,United States,US
Airport,Denver Arapahoe County Apt,APA,Denver,DEN,United States,US
Airport,Atlanta Hartsfield-Jackson Intl Apt,ATL,Atlanta,ATL,United States,US
City,Atlanta,ATL,NULL,NULL,United States,US
City,Atmautluak,ATT,NULL,NULL,United States,US
Airport,Atmautluak,ATT,Atmautluak,ATT,United States,US
Airport,Appleton,ATW,Appleton,ATW,United States,US
City,Appleton,ATW,NULL,NULL,United States,US
City,Watertown,ATY,NULL,NULL,United States,US
Airport,Watertown,ATY,Watertown,ATY,United States,US
City,Augusta,AUG,NULL,NULL,United States,US
Airport,Augusta,AUG,Augusta,AUG,United States,US
Airport,Alakanuk,AUK,Alakanuk,AUK,United States,US
City,Alakanuk,AUK,NULL,NULL,United States,US
City,Austin,AUS,NULL,NULL,United States,US
Airport,Austin-Bergstrom International Apt,AUS,Austin,AUS,United States,US
City,Wausau,AUW,NULL,NULL,United States,US
City,Asheville,AVL,NULL,NULL,United States,US
Airport,Asheville,AVL,Asheville,AVL,United States,US
City,Wilkes-Barre,AVP,NULL,NULL,United States,US
Airport,Wilkes-Barre Scranton International Apt,AVP,Wilkes-Barre,AVP,United States,US
City,Catalina Island,AVX,NULL,NULL,United States,US
Airport,Phoenix Williams Gateway Airport,AZA,Phoenix,PHX,United States,US
City,Kalamazoo,AZO,NULL,NULL,United States,US
Airport,Kalamazoo,AZO,Kalamazoo,AZO,United States,US
Airport,Benson,BBB,Benson,BBB,United States,US
City,Benson,BBB,NULL,NULL,United States,US
Airport,Hartford Bradley International Apt,BDL,Hartford,HFD,United States,US
City,Bridgeport,BDR,NULL,NULL,United States,US
Airport,Bridgeport,BDR,Bridgeport,BDR,United States,US
Airport,Bedford/Hanscom,BED,Bedford/Hanscom,BED,United States,US
City,Bedford/Hanscom,BED,NULL,NULL,United States,US
Airport,Bethel Municipal Apt,BET,Bethel,BET,United States,US
City,Bethel,BET,NULL,NULL,United States,US
Airport,Bradford,BFD,Bradford,BFD,United States,US
City,Bradford,BFD,NULL,NULL,United States,US
Airport,Scottsbluff,BFF,Scottsbluff,BFF,United States,US
City,Scottsbluff,BFF,NULL,NULL,United States,US
Airport,Seattle Boeing Field,BFI,Seattle,SEA,United States,US
Airport,Bakersfield,BFL,Bakersfield,BFL,United States,US
City,Bakersfield,BFL,NULL,NULL,United States,US
Airport,Mobile Aerospace Apt,BFM,Mobile,MOB,United States,US
Airport,Binghamton,BGM,Binghamton,BGM,United States,US
City,Binghamton,BGM,NULL,NULL,United States,US
Airport,Bangor,BGR,Bangor,BGR,United States,US
City,Bangor,BGR,NULL,NULL,United States,US
City,Bar Harbor,BHB,NULL,NULL,United States,US
Airport,Bar Harbor,BHB,Bar Harbor,BHB,United States,US
Airport,Birmingham,BHM,Birmingham,BHM,United States,US
City,Birmingham,BHM,NULL,NULL,United States,US
Airport,Big Creek,BIC,Big Creek,BIC,United States,US
City,Big Creek,BIC,NULL,NULL,United States,US
City,Block Island,BID,NULL,NULL,United States,US
Airport,Block Island,BID,Block Island,BID,United States,US
Airport,Bishop,BIH,Bishop,BIH,United States,US
City,Bishop,BIH,NULL,NULL,United States,US
City,Billings,BIL,NULL,NULL,United States,US
Airport,Billings,BIL,Billings,BIL,United States,US
Airport,Bismarck,BIS,Bismarck,BIS,United States,US
City,Bismarck,BIS,NULL,NULL,United States,US
Airport,Bemidji,BJI,Bemidji,BJI,United States,US
City,Bemidji,BJI,NULL,NULL,United States,US
Airport,Buckland,BKC,Buckland,BKC,United States,US
City,Buckland,BKC,NULL,NULL,United States,US
Airport,Branson,BKG,Branson,BKG,United States,US
City,Branson,BKG,NULL,NULL,United States,US
Airport,Cleveland Burke Lakefront Apt,BKL,Cleveland,CLE,United States,US
City,Beckley,BKW,NULL,NULL,United States,US
Airport,Beckley,BKW,Beckley,BKW,United States,US
Airport,Las Vegas Boulder City Airport,BLD,Las Vegas,LAS,United States,US
City,Bellingham,BLI,NULL,NULL,United States,US
Airport,Bellingham,BLI,Bellingham,BLI,United States,US
City,Bloomington-Normal,BMI,NULL,NULL,United States,US
Airport,Bloomington-Normal,BMI,Bloomington-Normal,BMI,United States,US
City,Nashville,BNA,NULL,NULL,United States,US
Airport,Nashville,BNA,Nashville,BNA,United States,US
City,Boise,BOI,NULL,NULL,United States,US
Airport,Boise,BOI,Boise,BOI,United States,US
City,Boston,BOS,NULL,NULL,United States,US
Airport,Boston Logan International Apt,BOS,Boston,BOS,United States,US
City,Beaumont,BPT,NULL,NULL,United States,US
Airport,Beaumont Jefferson County Apt,BPT,Beaumont,BPT,United States,US
Airport,Brunswick Glynco Jetport,BQK,Brunswick,SSI,United States,US
City,Brainerd,BRD,NULL,NULL,United States,US
Airport,Brainerd,BRD,Brainerd,BRD,United States,US
City,Whitesburg,BRG,NULL,NULL,United States,US
Airport,Whitesburg,BRG,Whitesburg,BRG,United States,US
City,Burlington,BRL,NULL,NULL,United States,US
Airport,Burlington,BRL,Burlington,BRL,United States,US
City,Brownsville,BRO,NULL,NULL,United States,US
Airport,Brownsville,BRO,Brownsville,BRO,United States,US
Airport,Barrow Wiley Post/Will Rogers Memorial,BRW,Barrow,BRW,United States,US
City,Barrow,BRW,NULL,NULL,United States,US
Airport,Bartletts,BSZ,Bartletts,BSZ,United States,US
City,Bartletts,BSZ,NULL,NULL,United States,US
Airport,Barter Island,BTI,Barter Island,BTI,United States,US
City,Barter Island,BTI,NULL,NULL,United States,US
City,Battle Creek,BTL,NULL,NULL,United States,US
Airport,Battle Creek,BTL,Battle Creek,BTL,United States,US
Airport,Butte,BTM,Butte,BTM,United States,US
City,Butte,BTM,NULL,NULL,United States,US
City,Baton Rouge,BTR,NULL,NULL,United States,US
Airport,Baton Rouge Metropolitan Apt,BTR,Baton Rouge,BTR,United States,US
City,Bettles,BTT,NULL,NULL,United States,US
Airport,Bettles,BTT,Bettles,BTT,United States,US
City,Burlington,BTV,NULL,NULL,United States,US
Airport,Burlington,BTV,Burlington,BTV,United States,US
City,Buffalo,BUF,NULL,NULL,United States,US
Airport,Buffalo,BUF,Buffalo,BUF,United States,US
Airport,Burbank,BUR,Burbank,BUR,United States,US
City,Burbank,BUR,NULL,NULL,United States,US
City,Baltimore,BWI,NULL,NULL,United States,US
Airport,Baltimore Washington International Apt,BWI,Baltimore,BWI,United States,US
City,Blytheville,BYH,NULL,NULL,United States,US
Airport,Bozeman,BZN,Bozeman,BZN,United States,US
City,Bozeman,BZN,NULL,NULL,United States,US
City,Columbia,CAE,NULL,NULL,United States,US
Airport,Columbia Metropolitan Apt,CAE,Columbia,CAE,United States,US
City,Akron/Canton,CAK,NULL,NULL,United States,US
Airport,Akron/Canton Ohio Regional,CAK,Akron/Canton,CAK,United States,US
